student_id,first_name,last_name,gender,age
1,Raj,Singh,M,12
2,Deepak,Thakur,M,10
3,Corinna,Mangenet,M,11
4,Manoj,Singh,M,11
5,Arnold,Scarman,M,10
6,Suraj,Jain,M,14
7,Kimberlee,Draude,M,16
8,Ashish,Thakur,M,16
9,Pasquale,Inge,M,17
10,Sapna,Jain,F,11
11,Corrianne,Santostefano,F,17
12,Deepan,Srivastava,M,11
13,Maureene,Giacopello,F,14
14,Paton,Mathevet,M,15
15,Newton,Ivanishev,F,12
16,Ber,Shouler,F,11
17,Kavita,Agrawal,F,12
18,Daffie,Helian,M,12
19,Laney,Barttrum,M,13
20,Gertie,Bairstow,M,12
21,Annemarie,Bernasek,M,16
22,Jessee,Bangs,M,16
23,Kerwin,Maggiore,M,11
24,Dianne,Mathie,M,16
25,Cordell,Glanders,F,14
26,Jade,Oneil,M,14
27,Brigitta,Keoghane,F,11
28,Melita,Rudland,F,14
29,Clo,Lanegran,M,12
30,Monte,Laity,M,13
31,Meredithe,Clackson,F,16
32,Siana,McFade,M,16
33,Jordan,Christophle,F,13
34,Shaw,Keeves,M,12
35,Frasco,Ingman,F,17
36,Clevey,Erswell,F,11
37,Lelia,Jain,M,13
38,Abagail,Niccolls,M,15
39,Derron,Maleby,M,13
40,Jarid,Sabine,F,17
41,Boote,Khristyukhin,F,17
42,Meta,Sammes,M,10
43,Staci,Hampshire,M,17
44,Brynn,Oloman,F,14
45,Ardis,Wethey,F,13
46,Shane,Heathcote,M,11
47,Rozanne,Roebottom,F,15
48,Abigael,Merriment,F,16
49,Lovell,Conan,F,17
50,Rorie,Borlease,M,13
51,Helaine,Dorward,F,11
52,Delcine,Jarrelt,M,16
53,Janaya,Keedwell,F,15
54,Ilaire,Bodker,M,15
55,Melisandra,Serck,M,17
56,Katerina,Bumphries,M,11
57,Ebony,Willison,F,16
58,Godard,Cargen,M,14
59,Elva,Cromwell,F,11
60,Dottie,Taffee,M,12
61,Orren,Ander,F,15
62,Deanne,Roder,F,14
63,Meghann,Wattingham,F,12
64,Wendye,Crilley,M,12
65,Catarina,Thain,F,13
66,Mallory,Aleixo,F,12
67,Dallis,Elmhurst,M,14
68,Kiersten,Morhall,F,15
69,Eleni,Nozzolii,M,12
70,Bert,Muggeridge,M,13
71,Arly,Rodnight,F,14
72,Marty,Bulch,M,15
73,Orson,Brambell,M,16
74,Devlen,Addison,M,17
75,Roderigo,Mougeot,M,17
76,Kristoforo,Lawes,F,13
77,Costanza,Dencs,M,17
78,Thaine,Randell,F,14
79,Marcie,Forster,M,10
80,Giulia,Suttle,M,16
81,Geoffry,Vidgeon,M,11
82,Seumas,Doodney,M,14
83,Calli,Lucio,F,13
84,Jacky,Langshaw,M,14
85,Minna,Abramchik,F,10
86,Mariska,Filochov,F,12
87,Lorianna,Joret,M,17
88,Dov,Emmet,M,13
89,Monah,Lidster,F,13
90,Tabor,Dudenie,M,16
91,Cristin,Kleuer,F,11
92,Lindy,Bernini,F,16
93,Sammie,McCambridge,M,17
94,Anatola,Merdew,F,11
95,Ardenia,Peirpoint,F,12
96,Brenden,Mustoo,M,16
97,Leandra,Skpsey,F,11
98,Anthea,Wem,M,16
99,Wendie,Ca,M,10
100,Stillmann,Pendrid,F,12
101,Janie,Tilne,F,12
102,Zitella,Dowrey,F,12
103,Dario,Phillott,M,15
104,Rosina,Van Zon,M,17
105,Anne-corinne,Chaddock,F,15
106,Tomasina,Palfreyman,F,16
107,Cybil,Gherardi,M,13
108,Lenka,Spedding,M,12
109,Delphinia,Gawthrop,F,14
110,Cully,Jerke,M,14
111,Lora,Mundall,F,17
112,Grier,Borrill,F,12
113,Benedetta,Sheaber,M,16
114,Malvina,Botwright,F,15
115,Haleigh,Scathard,M,16
116,Geoff,Berardt,F,14
117,Erich,Raff,F,14
118,Arline,Withringten,F,11
119,Fernando,Chuck,M,12
120,Danya,Volette,M,13
121,Bonny,Johnston,F,10
122,Upton,Gasticke,F,16
123,Filippo,Wettern,F,10
124,Maryjo,Reese,F,16
125,Magdalena,Gaisford,F,16
126,Shaughn,Roze,M,14
127,Billye,Vanelli,M,12
128,Filberte,McDunlevy,F,11
129,Ethelbert,Swinnerton,F,12
130,Eloisa,Balazs,F,11
131,Chiquia,Mawson,M,13
132,Janessa,Petranek,M,10
133,Ransell,McCorkell,F,14
134,Enoch,Hillitt,F,17
135,Irwin,Pyott,M,12
136,Solomon,Syrett,F,14
137,Josselyn,Kob,F,17
138,Jania,Kundert,M,10
139,Benjie,Hawley,M,11
140,Reinwald,Gosneye,F,15
141,Heath,Ransome,F,11
142,Joyann,Isles,F,16
143,Ailbert,Twigge,M,17
144,Parry,Tomasini,F,13
145,Bel,Yashnov,M,11
146,Basil,Geard,M,11
147,Johnathon,Mullen,M,14
148,Sidnee,Von Der Empten,F,12
149,Judy,Bastian,M,13
150,Heddie,Wadmore,M,13
151,Aurelie,Kirtlan,M,12
152,Mead,Beasleigh,M,16
153,Twila,Keijser,M,12
154,Aurea,Jayme,F,11
155,Lilias,Garnsworthy,M,15
156,Cherin,Lovejoy,F,13
157,Kamila,Loseby,F,11
158,Chancey,Bachshell,M,13
159,Vin,Fassum,F,16
160,Marie,Henriet,F,11
161,Errol,Rollett,M,17
162,Hiram,Pavett,M,14
163,Toddie,Treffry,M,11
164,Hamel,Pobjoy,M,11
165,Briant,McElhargy,F,13
166,Jay,Kibbee,F,11
167,Maxine,McCallister,F,14
168,Darcey,Etuck,M,14
169,Skylar,Lightewood,F,13
170,Winifred,Manie,F,13
171,Crichton,Claxson,F,12
172,Justino,Terrazzo,M,12
173,Lane,Yakobovitz,F,16
174,Aristotle,Jancic,M,10
175,Ingemar,Soda,M,14
176,Denny,Brushneen,M,14
177,Massimiliano,Hickford,F,15
178,Thatcher,Balffye,M,15
179,Lea,Benedick,F,13
180,Ardith,Mariner,F,12
181,Abbe,Melsom,F,11
182,Winni,Izard,M,12
183,Marius,Galloway,F,10
184,Bryanty,Simonazzi,M,16
185,Gearard,Roughan,M,17
186,Alina,Reisk,M,14
187,Vivianne,Solan,F,13
188,Jolyn,MacKilroe,F,11
189,Barbe,Goldring,M,10
190,Edsel,Beevors,F,15
191,Henrietta,Visick,F,15
192,Pennie,Stitch,F,12
193,Care,Gounin,M,14
194,Julina,Aizic,M,16
195,Ross,Whitnall,F,15
196,Hesther,Yallowley,M,11
197,Vickie,Skittrell,F,10
198,Garrek,Paunsford,F,13
199,Jenifer,Purviss,M,12
200,Cathrine,Warboys,F,10
201,Berrie,Busst,M,13
202,Kailey,Ping,F,11
203,Kaye,D'Elias,F,10
204,Amos,Jagger,F,15
205,Catherine,Masserel,F,11
206,Cary,Beazleigh,F,17
207,Cherilynn,Draye,M,14
208,Marthe,Ties,M,14
209,Randi,Kimmons,F,11
210,Nana,Lafay,M,13
211,Elvera,Littell,F,11
212,Merrill,Butterley,M,12
213,Kerr,Kingswell,M,11
214,Dwayne,Zini,M,13
